시나리오ID,페이지,시나리오명,테스트케이스명,단계별 작업 수행내용,예상 결과,PASS/FAIL
TS-01-001,index.html,랜딩 페이지 접속,페이지 로드 확인,index.html 접속,"랜딩 페이지 정상 표시, 히어로 섹션/가격표/서비스 카탈로그 등 표시",
TS-01-002,index.html,헤더 영역,로고 클릭,Tokbell 로고 클릭,index.html 페이지로 이동,
TS-01-003,index.html,헤더 영역,로그인 버튼 클릭,로그인 버튼 클릭,login.html 페이지로 이동,
TS-01-004,index.html,헤더 영역,회원가입 버튼 클릭,톡벨 가입하기 버튼 클릭,signup.html 페이지로 이동,
TS-01-005,index.html,헤더 내비게이션,드롭다운 메뉴 동작,문자발송 메뉴에 마우스 호버,"드롭다운 메뉴 표시",
TS-01-006,index.html,히어로 섹션,견적 문의 버튼 클릭,견적 문의하기 버튼 클릭,support-inquiry.html 페이지로 이동,
TS-01-007,index.html,가격 탭,문자 탭 클릭,문자 탭 버튼 클릭,SMS/LMS/MMS 가격 카드 표시,
TS-01-008,index.html,가격 탭,카카오 탭 클릭,카카오 탭 버튼 클릭,알림톡/브랜드메시지 가격 카드 표시,
TS-01-009,index.html,가격 탭,선거문자 탭 클릭,선거문자 탭 버튼 클릭,선거문자 가격 카드 표시,
TS-01-010,index.html,롤링 배너,자동 롤링 확인,5초 대기,배너가 자동으로 다음 슬라이드로 전환됨,
TS-01-011,index.html,롤링 배너,이전/다음 버튼,좌/우 화살표 버튼 클릭,배너 슬라이드 전환,
TS-01-012,index.html,공지사항,공지사항 더보기 클릭,더보기 링크 클릭,support-notice.html 페이지로 이동,
TS-01-021,index.html,CTA 섹션,상담 신청서 작성하기,상담 신청서 작성하기 버튼 클릭,consultationModal 모달 팝업 열림,
TS-01-M01-001,index.html (모달),상담 신청 모달,모달 열기,상담 신청서 작성하기 버튼 클릭,상담 신청서 모달 표시,
TS-01-M01-002,index.html (모달),상담 신청 모달,회사명 입력 필수 확인,회사명 미입력 후 신청하기 클릭,필수 항목 입력 요청 메시지 표시,
TS-01-M01-010,index.html (모달),상담 신청 모달,신청하기 버튼,필수 항목 입력 후 신청하기 클릭,"토스트 ""상담 신청이 완료되었습니다"" 표시, 모달 닫힘",
TS-02-001,login.html,로그인 페이지 접속,페이지 로드 확인,login.html 접속,로그인 폼 정상 표시,
TS-02-002,login.html,아이디 입력,아이디 필드 입력,아이디 입력 필드에 텍스트 입력,정상 입력됨,
TS-02-003,login.html,비밀번호 입력,비밀번호 필드 입력,비밀번호 입력 필드에 텍스트 입력,마스킹 처리되어 표시됨,
TS-02-005,login.html,로그인 버튼,로그인 실행,아이디/비밀번호 입력 후 로그인 버튼 클릭,"localStorage에 로그인 상태 저장, main.html로 이동",
TS-02-007,login.html,회원가입 버튼,회원가입 페이지 이동,회원가입 버튼 클릭,signup.html 페이지로 이동,
TS-02-008,login.html,아이디 찾기,아이디 찾기 클릭,아이디 찾기 링크 클릭,"alert ""아이디 찾기 기능은 준비 중입니다"" 표시",
TS-02-009,login.html,비밀번호 찾기,비밀번호 찾기 클릭,비밀번호 찾기 링크 클릭,"alert ""비밀번호 찾기 기능은 준비 중입니다"" 표시",
TS-03-001,main.html,대시보드 접속,페이지 로드 확인,main.html 접속,"대시보드 정상 표시",
TS-03-003,main.html,빠른 액션,문자 바로가기 클릭,문자 버튼 클릭,message-send-general.html 페이지로 이동,
TS-03-004,main.html,빠른 액션,알림톡 바로가기 클릭,알림톡 버튼 클릭,kakao-send-alimtalk.html 페이지로 이동,
TS-03-005,main.html,빠른 액션,브랜드 메시지 바로가기 클릭,브랜드 메시지 버튼 클릭,kakao-send-brandtalk.html 페이지로 이동,
TS-03-008,main.html,발송 성공률 카드,발송 목록 보기 클릭,발송 목록 보기 버튼 클릭,send-result.html 페이지로 이동,
TS-03-012,main.html,상담 카드,상담 신청서 작성하기 클릭,상담 신청서 작성하기 버튼 클릭,consultationModal 모달 팝업 열림,
